product_name,brand,product_category,product_code,product_series,business,product_identifier
4100ES NDU with SPS for ES Net,Autocall,Autocall,"4100-1294, 4100-6030, 4100-6055, 4100-6412, 4100-6413, 4100-6414, 4100-9835, 4100-9843, 4100-9844, 4100-9845, 4190-9803, A100-0623, A100-0634, A100-0635, A100-0637, A100-1210, A100-1240, A100-1241, A100-1242, A100-1243, A100-1245, A100-1246, A100-1248, A100-1249, A100-1252, A100-1253, A100-1254, A100-1255, A100-1259, A100-1260, A100-1266, A100-1267, A100-1268, A100-1270, A100-1272, A100-1273, A100-1276, A100-1277, A100-1278, A100-1280, A100-1281, A100-1282, A100-1283, A100-1284, A100-1285, A100-1286, A100-1287, A100-1288, A100-1289, A100-1290, A100-1291, A100-1293, A100-1296, A100-1311, A100-1312, A100-1313, A100-1314, A100-1315, A100-1318, A100-1319, A100-1320, A100-1321, A100-1324, A100-1325, A100-1326, A100-1327, A100-1328, A100-1329, A100-1332, A100-1333, A100-1334, A100-1335, A100-1338, A100-1339, A100-1361, A100-1362, A100-1363, A100-1364, A100-2320, A100-3103, A100-3109, A100-3110, A100-3202, A100-3204, A100-3206, A100-5013, A100-510, A100-5101, A100-5102, A100-5111, A100-5113, A100-5115, A100-5116, A100-5125, A100-5127, A100-5152, A100-6031, A100-6032, A100-6033, A100-6034, A100-6038, A100-6046, A100-6048, A100-6052, A100-6079, A100-6104, A100-6307, A100-6308, A100-6309, A100-6310, A100-7912, A100-91, A100-9141, A100-9142, A100-9157, A100-9158, A100-9159, A100-9160, A100-9161, A100-9162, A100-9163, A100-9164, A100-9165, A100-9168, A100-9169, A100-9170, A100-9241, A100-9242, A100-9248, A100-9249, A100-9250, A100-9251, A100-9252, A100-9253, A100-9400, A100-9620, A100-9621, A100-9816, A4081-9018, A4603-9100, A602",Not Specified,Not Specified,eef1a9f127eee96732626b0f7e1c0d220a5c9263
ES Network,Autocall,Autocall,"4100-6412, 4100-6413, 4100-6414, 4100-6415, A007-6306, A007-6307, A007-6308, A007-6309, A007-9817, A010-6306, A010-6307, A010-6308, A010-6309, A010-6310, A010-9934, A100-6104, A100-6306, A100-6307, A100-6308, A100-6309, A100-6310, A100-7912, A100-9157, A100-9158, A100-9163, A100-9168, A100-9248, A100-9249, A100-9250, A100-9251, A100-9252, A100-9253, A100-9357, A100-9358, A100-9545, A100-9834, A190-9832, A190-9833, A190-9834, A190-9835, A190-9856, A190-9857, A190-9858, A190-9859, A2081-9044, S4100-0020",Not Specified,Not Specified,482f8c2d4793a868abb17d48e44812802783bef5
TrueSite Graphic Annunciator,Autocall,Autocall,"2000-2002, 2004-2006, 2007-2009, 2010-2011, A100-0620, A100-1272, A100-1273, A100-1290, A100-1293, A100-2107, A100-2108, A100-2127, A100-2128, A100-6038, A100-6104, A100-6310, A100-7909, A100-9615, A190-5055, A190-5063, A190-5067, A190-5068, A190-6002, A190-6010, A190-6026, A190-6034, A190-6050, A190-6054, A190-6055, A190-6059, A190-7014, A190-7026, A190-7027, A190-7028, A190-7029, A190-7030, A190-7031, A190-7032, A190-7033, A190-7034, A190-7114, A190-7131, A190-7214, A190-7233, A190-7234, A190-8406, A190-8407, A190-8605, A190-8606, A190-8901, A190-9013, A190-9027, A190-9832, A190-9833, A190-9834, A190-9835, A190-9856, A190-9857, A190-9858, A190-9859, A2975-9408, A2975-9409, A2975-9439, A2975-9440",Not Specified,Not Specified,8ef11a1de50810fe860e0d26744dc24c3c5b60d8
TrueSite Network Annunciator,Autocall,Autocall,"4100-6412, 4100-6413, 4100-6414, A100-1243, A100-1244, A100-6104, A100-6310, A190-4006, A190-4008, A190-4009, A190-4010, A190-4011, A190-4013, A190-4014, A190-5050, A190-5053, A190-5060, A190-5061, A190-5062, A190-5064, A190-5065, A190-5066, A190-5068, A190-6002, A190-6010, A190-6026, A190-6034, A190-6036, A190-6050, A190-6054, A190-6055, A190-6056, A190-6058, A190-6059, A190-6061, A190-6301, A190-6302, A190-6303, A190-6304, A190-7026, A190-7027, A190-7028, A190-7029, A190-7030, A190-7114, A190-7131, A190-7214, A190-7233, A190-7234, A190-8122, A190-8401, A190-8403, A190-8410, A190-8603, A190-8605, A190-8901, A190-9013, A190-9027, A190-9822, A190-9829, A190-9832, A190-9833, A190-9834, A190-9835, A190-9851, A190-9852, A190-9853, A190-9854, A190-9856, A190-9857, A190-9858, A190-9859, A4003-9803",Not Specified,Not Specified,f63d03906aa8452f7daa736e7aa3e06e5e8aabb6
Fire Alarm Network Ethernet Switch,Autocall,Autocall,"A190-6010, A190-6050, A190-6051, A190-6052, A190-6053, A190-6054, A190-6055, A190-6056, A190-6057, A190-8401, A190-8403, A190-8404, A190-8405, A190-8410, A190-8411, A190-8901",Not Specified,Not Specified,84e809d10b92aeda4a0abb7efd1360aca9ea3942
TrueSite Incident Commander,Autocall,Autocall,"A100-0620, A100-1243, A100-1244, A100-1272, A100-1273, A100-1290, A100-1293, A100-2107, A100-2108, A100-2127, A100-2128, A100-6038, A100-6104, A100-6310, A100-7909, A100-9615, A190, A190-4006, A190-4008, A190-4009, A190-4010, A190-4011, A190-4013, A190-4014, A190-5050, A190-5053, A190-5060, A190-5061, A190-5062, A190-5064, A190-5065, A190-5066, A190-5068, A190-6002, A190-6010, A190-6026, A190-6034, A190-6036, A190-6037, A190-6050, A190-6054, A190-6055, A190-6059, A190-6061, A190-7014, A190-7031, A190-7032, A190-7033, A190-7034, A190-8122, A190-8401, A190-8404, A190-8405, A190-8411, A190-8605, A190-8901, A190-9013, A190-9027, A190-9822, A190-9823, A190-9829, A190-9832, A190-9833, A190-9834, A190-9835, A190-9856, A190-9857, A190-9858, A190-9859, A2975-9408, A2975-9409, A2975-9439, A2975-9440, A2975-9457, A2975-9459, A2975-9460, A2975-9548, A4003-9803",Not Specified,Not Specified,cca646787b4493a6e650b5253d35d5154c80f106
CYK,YORK,YORK,Not Specified,Not Specified,Chillers,e3c649366b08d4e34d3be45cf404d01cd26d879a
YD Centrifugal Liquid Chillers,YORK,YORK,Not Specified,Not Specified,Chillers,0eeecd07cdffe03a35058b45b54423e0c2521f8b
YK Centrifugal Liquid Chillers,YORK,YORK,Not Specified,Not Specified,Chillers,bf41da49e5ab4c76189ad8a2e306767b3364d74f
YK-EP,YORK,YORK,Not Specified,Not Specified,Chillers,c77ab7c787c2f9c3a6493e1fe27fd2876821de6f
